"","dominance10","prestige10","leadership10","dominance6","prestige6","leadership6","dominance4","prestige4","leadership4","MFQ_harm_s","MFQ_fair_s","MFQ_ingroup_s","MFQ_authority_s","MFQ_purity_s","gender","age","employment_rank"
"286",24,37,51,15,23,31,10,15,20,-2.72248785234538,-1.93332047764479,-0.562518200130611,-0.739128114326582,-0.729431235737092,"male","4",11
"287",21,55,50,11,31,33,6,21,21,-0.000322268787309145,1.21423408175241,0.920386845840375,0.67845774262918,0.485017088106423,"female","1",1
"289",18,32,49,8,17,29,4,10,20,0.751939266265646,0.518889806368496,0.487960734831151,1.71410467954364,1.09488788467979,"female","4",9
"291",37,43,46,22,23,30,14,15,20,0.122626541207156,0.848056623890875,-0.24329634063391,-0.825228944558798,-0.859874625936921,"male","1",4
"293",19,35,42,8,18,24,6,12,15,0.751939266265646,0.189722988846116,0.714369237856195,0.546655900570345,0.787305851741497,"male","4",8
"294",24,51,48,12,31,29,8,21,19,1.36273478740714,0.481879166029339,0.189129770375314,-0.0801189040324088,1.03231282423149,"female","4",11
"296",20,40,32,10,23,20,7,15,14,0.264092555118617,-1.49312173910494,0.807182594327852,0.546655900570345,0.667449000148112,"female","4",2
"297",40,39,46,23,20,28,14,13,20,-1.24043051498729,-0.5056212865378,-1.43862019845725,-0.343722588150078,-0.917156417082003,"male","1",0
"298",24,42,43,12,24,27,7,14,17,0.487524442359721,-0.273839861409828,0.395147378359494,0.546655900570345,-0.250003829363553,"female","1",4
"302",39,40,37,24,24,22,16,16,15,0.122626541207156,-0.0790690766210131,0.786791699286987,0.619290124667362,0.975031033086407,"female","1",0
"303",32,41,43,19,27,28,12,20,19,-0.894049817751725,0.287108381240524,-1.41822930341639,-1.58380559122039,-1.65217733455198,"male","1",2
"305",16,25,41,8,15,28,5,10,19,-1.34091359223393,-1.20096556192172,-0.933771626017239,-1.10229923481167,0.000296412429661517,"male","4",4
"306",14,36,39,8,23,25,4,17,18,0.264092555118617,-0.603006678932208,0.189129770375314,-1.10229923481167,0.0575782035747429,"male","3",9
"307",37,47,52,22,27,32,14,18,21,0.487524442359721,0.421504413974088,0.714369237856195,0.546655900570345,0.42244202765812,"female","4",9
"308",23,27,42,15,16,25,11,10,16,-1.78777736671614,-2.09108062209445,-1.13978923400142,-0.957030786617633,-0.734724505040314,"male","3",9
"309",18,28,39,10,17,25,6,13,16,0.487524442359721,1.40900486654123,0.20952066541618,0.137783768258642,0.42244202765812,"male","4",4
"310",25,52,53,14,33,31,8,23,20,0.182126681788973,-0.603006678932208,1.21921781029621,2.06380919389352,0.667449000148112,"male","4",6
"311",20,32,42,11,17,26,6,11,16,-0.52915191659916,-0.700392071326616,-0.840958269545582,-0.343722588150078,-1.34459530161368,"male","4",11
"315",32,26,45,19,14,27,12,10,18,-1.42287946556358,-0.5056212865378,0.395147378359494,-0.825228944558798,-0.859874625936921,"male","1",7
"316",35,36,53,22,23,32,13,14,21,-1.4638624022284,-1.26134031397697,1.40484452323952,1.5823028374848,1.09488788467979,"male","5",9
"318",31,34,49,18,21,30,10,13,20,-0.182771219363592,1.21423408175241,0.0963164139036573,1.02816225697906,0.42244202765812,"male","4",11
"320",21,44,47,12,27,28,6,18,21,0.792922202930468,0.421504413974088,0.0963164139036573,0.474021676473328,0.912455972638104,"female","4",5
"321",27,42,60,17,26,36,11,18,24,1.01635409017157,-0.273839861409828,0.508351629872016,1.43703438929077,1.82461553284655,"female","4",10
"322",24,34,48,13,20,31,9,13,20,0.528507379024542,1.17722344141325,0.69397834281533,0.19695138622046,-0.0049968568735606,"male","5",7
"324",26,23,42,16,15,24,8,7,15,1.2807689140775,0.421504413974088,0.714369237856195,1.1599640990379,1.82461553284655,"male","3",11
"326",31,42,50,18,25,31,11,16,20,0.264092555118617,-0.5056212865378,-0.202514550552179,0.137783768258642,0.667449000148112,NA,"1",0
"328",36,46,50,21,28,30,12,18,20,-1.4638624022284,-0.700392071326616,0.00350305743200036,-0.139286521994227,-0.0675719173218641,"male","4",8
"329",31,33,34,20,19,20,12,13,13,0.34605842844826,-0.5056212865378,-0.202514550552179,-0.00748467993539193,1.1574629451281,"female","4",3
"330",33,42,48,21,25,30,14,17,20,0.305075491783438,-0.83478810406018,1.10601355878369,1.1734307051731,0.667449000148112,"male","3",8
"335",42,49,43,25,29,25,16,20,17,-0.305720029358056,-0.565996038593051,0.920386845840375,1.23259832313492,1.82461553284655,"male","1",6
"336",31,46,45,19,27,28,13,18,19,-0.0413052054521308,0.287108381240524,0.189129770375314,0.474021676473328,-0.312578889811856,"male","2",3
"345",32,42,59,20,27,35,12,18,23,0.669973392936003,-0.139443828676264,1.21921781029621,0.474021676473328,0.542298879251505,"male","2",11
"348",22,44,40,10,26,26,6,17,17,-1.54582827555804,-0.700392071326616,-0.202514550552179,0.269585610317476,-1.53232048295859,"male","3",8
"350",20,34,33,14,21,20,8,15,14,1.68664975189488,1.21423408175241,1.10601355878369,1.23259832313492,2.13219756578484,"female","5",6
"352",29,39,37,16,22,22,11,15,15,0.610473252354185,-0.83478810406018,0.601164986343673,0.0651495441616249,-0.432435741405241,"male","1",0
"353",28,42,42,17,28,22,8,18,11,-0.223754156028413,-0.700392071326616,0.487960734831151,0.0651495441616249,0.177435055168128,"male","4",11
"354",32,37,40,20,24,24,14,15,16,-0.406203106604696,-0.408235894143393,0.0759255188627919,0.342219834414493,0.975031033086407,"male","4",9
"356",23,39,39,14,24,23,9,16,14,-0.000322268787309145,-0.273839861409828,0.899995950799509,-0.0666522978972098,-0.0675719173218641,"male","4",9
"358",16,35,32,12,24,18,6,17,11,1.95106457580081,0.518889806368496,2.22891495517624,0.810259584688014,1.45975170876317,"female","4",1
"359",42,52,38,24,31,23,16,20,17,-0.752583803840265,-0.797777463721023,0.0963164139036573,0.691924348764379,-0.187428768915249,"female","1",0
"360",42,34,45,25,18,27,16,12,18,-0.711600867175443,-0.83478810406018,-1.41822930341639,-1.17493345890868,-0.250003829363553,"female","1",6
"362",26,43,51,16,26,31,10,16,20,1.2807689140775,-0.236829221070671,-1.6038560163597,-1.32020190710272,-1.16216338957199,"female","1",8
"364",13,26,31,9,12,21,6,10,14,-1.82876030338096,-0.700392071326616,-0.542127305089746,-1.84740927533806,-1.46974542251029,"male","1",0
"366",25,42,53,13,27,32,9,17,22,-0.000322268787309145,-0.468610646198644,0.69397834281533,0.955528032882048,1.27731979672148,"female","1",9
"367",25,31,38,16,21,24,12,13,17,-0.365220169939874,-1.66452841217766,0.580774091302808,0.342219834414493,0.42244202765812,"female","1",0
"369",30,25,43,21,16,26,12,9,17,-1.24043051498729,-1.06656952918815,0.302334021887837,1.02816225697906,-0.432435741405241,"male","3",10
"370",33,41,47,21,24,29,13,15,19,-1.42287946556358,-0.969184136793745,-2.14948637888145,-0.957030786617633,-0.917156417082003,"female","1",0
"371",40,45,34,25,26,21,16,17,15,0.0816436045423341,1.60377565133004,-1.83026451938475,-0.752594720461781,-1.71475239500028,"male","1",7
"372",35,36,44,22,20,25,13,13,16,0.264092555118617,0.287108381240524,0.302334021887837,-0.211920746091243,-0.797299565488618,"male","1",4
"374",29,46,42,19,27,26,12,17,18,0.264092555118617,0.287108381240524,0.0963164139036573,-0.357189194285277,-0.0049968568735606,"male","1",3
"375",29,44,47,18,26,29,10,19,19,-1.72827722613432,-2.05406998175529,0.807182594327852,-0.139286521994227,-0.489717532550322,"male","3",11
"376",32,45,47,19,29,26,12,19,17,-1.19944757832247,-0.371225253804236,-0.72775401803306,1.1599640990379,-0.677442713895233,"male","1",5
"378",48,44,50,29,24,29,19,19,19,-0.488168979934339,0.848056623890875,-2.74714830779312,-0.752594720461781,-0.124853708466945,"female","1",1
"381",22,37,29,13,23,17,9,17,10,0.528507379024542,1.83555707645801,-1.73745116291309,-2.26974801378496,-2.44448004316704,"female","1",0
"382",24,36,35,16,23,21,11,15,16,-0.976015691081368,0.32411902157968,-1.23260259047308,-1.16146685277348,-2.01704115863535,"male","1",0
"383",37,36,51,21,22,31,12,13,21,0.305075491783438,-1.29835095431612,0.69397834281533,-0.475524430208913,-1.10488159842691,"male","3",11
"385",34,38,38,21,24,21,13,17,14,-1.11748170499283,-0.969184136793745,-1.73745116291309,-1.30673530096752,-1.89718430704197,"male","1",0
"386",27,37,48,18,22,30,11,13,20,1.01635409017157,1.40900486654123,-0.315718802064701,-0.343722588150078,-0.614867653446929,"male","1",9
"387",21,38,22,12,24,14,8,14,9,1.05733702683639,0.848056623890875,-0.501345515008015,0.19695138622046,-0.614867653446929,"female","1",2
"391",19,46,41,13,28,24,7,20,16,0.446541505694899,0.32411902157968,0.189129770375314,-1.87434248760845,-0.979731477530306,"female","1",0
"394",25,43,30,13,27,16,8,20,12,-0.182771219363592,0.287108381240524,-0.820567374504717,0.823726190823213,0.0575782035747429,"female","1",0
"396",39,35,44,23,22,28,13,14,19,-1.09896450107583,0.518889806368496,-1.11939833896055,-2.67862014609666,-1.89718430704197,"male","1",3
"397",20,40,40,14,23,25,9,14,17,0.264092555118617,-0.371225253804236,-0.408532158536358,1.10079648107608,-0.0049968568735606,"female","2",6
"405",18,40,41,11,25,23,7,19,14,0.751939266265646,0.98245265662444,0.415538273400359,0.751091966726196,0.42244202765812,"male","4",1
"406",35,43,50,20,27,31,12,18,21,0.569490315689364,-0.0420584362818562,0.786791699286987,0.41485405851151,0.485017088106423,"male","5",11
"409",29,43,46,16,24,29,10,15,19,-0.406203106604696,-0.83478810406018,0.189129770375314,1.30523254723193,0.604873939699808,"male","5",11
"412",26,33,40,16,19,23,10,10,15,-0.0822881421169524,-2.88381028987277,1.90969309567954,0.210417992355659,1.21474473627318,"male","5",11
"413",28,40,46,17,26,29,9,15,19,1.01635409017157,1.54340089927479,-0.72775401803306,-0.693427102499963,-1.23003171932352,"female","2",10
"414",25,43,48,14,26,29,10,16,19,-0.976015691081368,-0.83478810406018,0.189129770375314,0.269585610317476,-0.369860680956937,"male","3",7
