"","dominance10","prestige10","leadership10","dominance6","prestige6","leadership6","dominance4","prestige4","leadership4","MFQ_harm_s","MFQ_fair_s","MFQ_ingroup_s","MFQ_authority_s","MFQ_purity_s","gender","age","employment_rank"
"85",26,39,38,17,23,21,9,14,13,0.610473252354185,0.287108381240524,-0.594158871479672,-2.06531194762911,-0.922449686385225,"male","4",11
"86",37,46,51,22,27,31,12,17,21,-1.28141345165212,-0.00504779594269927,-1.53143355492891,-1.02966501071465,-1.77203418614536,"female","1",3
"88",25,42,48,13,25,30,6,16,20,0.751939266265646,0.848056623890875,-0.202514550552179,0.19695138622046,-0.187428768915249,"male","4",11
"89",26,37,41,13,22,23,7,17,16,1.5042008013186,-0.0420584362818562,1.19882691525535,1.02816225697906,0.485017088106423,"female","3",8
"90",12,36,53,6,25,32,4,15,21,-0.0413052054521308,0.421504413974088,0.487960734831151,-1.2475676830057,-1.16745665887522,"male","2",11
"104",26,50,43,15,30,27,9,20,18,1.46321786465378,0.98245265662444,1.31203116676787,1.43703438929077,1.21474473627318,"male","4",6
"105",21,30,38,13,21,24,6,13,15,0.751939266265646,-0.408235894143393,-0.408532158536358,-0.620792878402947,0.912455972638104,"male","4",4
"107",20,50,47,11,29,26,4,18,17,0.204592414536799,0.115701708167802,0.487960734831151,-1.17493345890868,-0.187428768915249,"female","3",5
"108",26,42,39,15,26,23,10,17,17,-0.488168979934339,-0.139443828676264,-0.109701194080522,0.137783768258642,-0.614867653446929,NA,"1",4
"110",10,10,31,6,6,14,4,4,7,2.21547939970674,1.21423408175241,-1.51104265988805,-1.30673530096752,-0.922449686385225,"male","3",11
"111",35,46,50,19,29,30,12,19,20,-0.0413052054521308,0.421504413974088,1.31203116676787,1.08732987494088,1.45975170876317,"female","4",11
"112",23,44,38,14,25,22,9,15,14,-0.52915191659916,-0.737402711665772,-0.820567374504717,-0.0801189040324088,0.8498809121898,"male","3",9
"115",24,33,47,13,22,30,7,14,20,-0.6296349938458,-0.176454469015421,-0.016887837608865,-0.54815865430593,0.000296412429661517,"male","4",11
"116",29,36,46,16,20,27,10,13,17,0.83390513959529,-1.029558888849,-0.614549766520537,-0.76606132659698,0.787305851741497,"female","4",11
"118",32,44,44,21,24,27,12,17,18,-0.853066881086904,-1.76191380457207,-0.222905445593044,-0.198454139956044,-0.0049968568735606,"male","4",9
"120",21,25,50,12,18,29,4,11,17,-2.09317512728689,-0.908809384738494,-2.33511309182476,-1.6429732091822,-0.24471056006033,"male","4",2
"121",34,43,43,21,26,27,12,18,18,0.446541505694899,-0.0790690766210131,-0.222905445593044,1.02816225697906,2.13219756578484,"male","3",9
"122",29,35,40,16,20,23,8,12,15,1.19880304074785,0.421504413974088,1.21921781029621,-0.211920746091243,-0.250003829363553,NA,"4",7
"123",29,36,45,18,23,27,11,14,18,-0.264737092693235,-0.0420584362818562,-0.202514550552179,0.401387452376311,0.42244202765812,"male","4",11
"124",22,39,40,12,22,23,7,14,14,1.15782010408303,0.518889806368496,1.10601355878369,0.137783768258642,1.39717664831487,"male","4",11
"125",20,36,44,11,22,27,7,15,18,-0.100805346033948,-0.0420584362818562,-1.13978923400142,-1.78824165737624,-1.34459530161368,NA,"3",11
"126",30,47,34,17,27,21,11,18,13,-1.15846464165765,0.98245265662444,-1.11939833896055,-0.211920746091243,0.240010115616431,"male","3",8
"127",19,27,45,12,16,26,6,10,15,-0.0413052054521308,0.189722988846116,0.395147378359494,-0.211920746091243,1.2200380055764,"male","2",11
"128",31,46,53,18,27,33,10,17,22,-0.223754156028413,0.421504413974088,0.0963164139036573,0.342219834414493,-0.495010801853544,NA,"3",7
"130",21,34,44,14,23,27,8,15,19,0.264092555118617,0.189722988846116,0.395147378359494,-0.416356812247095,0.787305851741497,"male","4",10
"133",26,40,43,16,24,28,11,15,18,1.05733702683639,0.189722988846116,-0.707363122992195,-0.343722588150078,0.542298879251505,"male","4",11
"134",22,35,46,13,24,28,8,15,18,-0.000322268787309145,-0.468610646198644,0.302334021887837,0.210417992355659,0.8498809121898,"male","5",11
"135",22,33,45,11,22,28,6,16,19,-0.6296349938458,0.518889806368496,-1.41822930341639,-1.93351010557027,-2.32462319157365,"male","4",9
"137",29,36,41,18,23,26,12,14,18,-0.365220169939874,-0.0790690766210131,-0.109701194080522,0.137783768258642,0.0575782035747429,"male","4",11
"138",32,44,47,21,26,29,14,17,19,0.264092555118617,0.287108381240524,0.00350305743200036,-0.693427102499963,-0.0049968568735606,"female","2",3
"139",19,33,37,11,18,23,7,12,15,-1.34091359223393,-0.0420584362818562,-2.33511309182476,-0.620792878402947,-0.80259283479184,"male","3",8
"140",12,26,43,7,17,27,4,10,16,0.528507379024542,0.287108381240524,-0.913380730976374,0.137783768258642,-1.10488159842691,"male","3",11
"141",19,36,43,13,19,27,7,12,18,-0.670617930510621,-0.871798744399337,-0.840958269545582,0.955528032882048,-0.0049968568735606,"female","4",6
"142",38,53,54,23,33,33,14,22,21,-0.346702966022878,-0.700392071326616,0.580774091302808,-0.198454139956044,-0.187428768915249,"male","3",11
"143",30,49,54,18,29,33,11,19,22,0.97537115350675,0.98245265662444,0.601164986343673,1.50966861338779,1.40246991761809,"male","4",11
"145",28,42,56,16,25,34,7,16,23,0.264092555118617,0.32411902157968,0.714369237856195,0.751091966726196,-0.250003829363553,"male","3",7
"146",19,40,54,11,26,33,6,20,22,0.182126681788973,0.0923375964517083,-0.820567374504717,0.19695138622046,-1.10488159842691,"female","4",11
"148",25,53,52,16,33,31,9,23,20,0.83390513959529,1.83555707645801,-0.408532158536358,-0.488991036344112,0.667449000148112,"male","5",10
"149",20,49,45,13,29,25,8,20,19,0.487524442359721,0.848056623890875,-1.00619408744803,-1.37936952506454,-0.495010801853544,"female","3",7
"150",26,45,39,15,27,23,8,17,16,1.05733702683639,-0.371225253804236,0.69397834281533,1.43703438929077,1.94976565374315,"male","4",9
"151",16,37,43,9,24,26,5,18,17,1.76861562522453,0.750671231496468,2.41454166811956,1.64147045544662,0.8498809121898,"female","3",5
"152",38,50,55,22,30,36,13,20,24,-0.52915191659916,2.20173453431955,-0.222905445593044,0.67845774262918,-0.0675719173218641,"female","4",10
"153",46,50,43,27,33,27,20,22,17,-1.64631135280468,-1.06656952918815,1.38445362819866,-0.561625260441129,-0.672149444592011,"male","3",7
