"","dominance10","prestige10","leadership10","dominance6","prestige6","leadership6","dominance4","prestige4","leadership4","MFQ_harm_s","MFQ_fair_s","MFQ_ingroup_s","MFQ_authority_s","MFQ_purity_s","gender","age","employment_rank","percentage"
"61",NA,NA,NA,18,26,26,12,17,17,-1.40150173811823,-0.753629283371985,0.58183353781332,0.429094510328282,0.848261505508522,"male",21,7,0
"62",NA,NA,NA,17,24,33,9,15,22,-2.29859333656458,-1.2322622000632,-0.909178440275561,0.810974737966721,-0.492863404386375,"female",38,6,0
"63",NA,NA,NA,8,33,34,5,23,22,0.392681458774471,1.16090238339287,0.0227040460299897,1.00191485178594,1.85410518792969,"male",48,8,50
"64",NA,NA,NA,17,30,30,9,20,20,-0.280137240060293,-0.27499636668077,-0.16367245123112,0.238154396509063,0.177699050561074,"female",44,10,0
"65",NA,NA,NA,13,25,27,7,16,18,0.392681458774471,0.442953008356051,0.95458653233554,1.19285496560516,1.01590211924538,"female",45,3,0
"67",NA,NA,NA,11,13,21,7,7,14,-0.0558643404487048,0.682269466701658,-0.722801943014451,-2.05312696932157,-1.66634770054441,"male",44,1,0
"68",NA,NA,NA,26,31,31,17,21,20,0.392681458774471,1.40021884173848,0.0227040460299897,0.429094510328282,-0.325222790649513,"male",37,8,0
"69",NA,NA,NA,7,19,24,5,11,16,0.616954358386058,0.921585925047265,-0.536425445753341,-0.525606058767815,-0.660504018123237,"male",41,1,40
"70",NA,NA,NA,18,24,15,11,16,10,-0.280137240060293,-0.0356799083351631,-0.722801943014451,-0.334665944948596,-0.157582176912651,"male",27,8,0
"71",NA,NA,NA,12,19,19,8,12,12,-1.62577463772982,-0.753629283371985,-0.536425445753341,-0.525606058767815,-0.157582176912651,"male",46,4,10
"72",NA,NA,NA,9,25,21,4,15,14,0.616954358386058,-1.2322622000632,0.2090805432911,0.0472142826898431,1.01590211924538,"female",25,5,0
"73",NA,NA,NA,8,22,24,5,15,18,0.841227257997646,0.921585925047265,-1.84106092658111,-2.62594731077923,-1.16342585933382,"male",38,7,100
"74",NA,NA,NA,13,26,31,7,15,20,0.616954358386058,-0.992945741717592,0.2090805432911,0.620034624147501,0.512980278034798,"female",25,4,0
"75",NA,NA,NA,12,25,16,8,16,10,0.616954358386058,0.921585925047265,1.70009252137998,1.5747351932436,1.85410518792969,"male",37,1,50
"76",NA,NA,NA,12,15,12,8,9,8,0.616954358386058,0.442953008356051,0.0227040460299897,1.00191485178594,0.512980278034798,"female",54,0,50
"77",NA,NA,NA,10,24,17,4,16,12,0.841227257997646,0.921585925047265,0.76821003507443,1.00191485178594,1.18354273298225,"male",38,6,10
"78",NA,NA,NA,9,7,10,5,5,6,-1.85004753734141,-1.47157865840881,-0.909178440275561,0.238154396509063,2.18938641540342,"male",39,1,0
"79",NA,NA,NA,21,18,13,12,10,9,0.616954358386058,1.40021884173848,-1.84106092658111,-1.09842640022547,-1.33106647307069,"male",26,1,0
"80",NA,NA,NA,11,19,17,6,11,13,-0.952955938895056,-1.2322622000632,1.51371602411887,0.620034624147501,1.18354273298225,"male",39,5,50
"81",NA,NA,NA,19,19,14,11,13,9,-0.952955938895056,-0.992945741717592,0.2090805432911,-0.143725831129376,-0.828144631860099,"female",44,1,50
"82",NA,NA,NA,16,18,20,10,12,13,-0.728683039283468,-1.2322622000632,0.2090805432911,-1.09842640022547,0.177699050561074,"male",35,11,50
"83",NA,NA,NA,18,26,26,10,17,17,0.392681458774471,-0.0356799083351631,2.25922201316331,1.5747351932436,1.18354273298225,"male",35,2,60
"85",NA,NA,NA,12,23,22,7,15,15,0.168408559162883,0.682269466701658,0.76821003507443,-0.143725831129376,-0.157582176912651,"female",37,2,0
"86",NA,NA,NA,17,25,31,10,17,20,0.168408559162883,0.203636550010444,1.51371602411887,0.429094510328282,0.512980278034798,"female",40,8,100
"87",NA,NA,NA,10,24,30,8,14,20,1.738318856444,2.1181682167753,1.88646901864109,1.76567530706282,1.68646457419283,"female",33,10,0
